"SITECODE","LCODE","SDATE","SECTION","FIELDNAME","VALUE","BROODED"
"T01","01",10-APR-93,5,"84",1,""
"T01","01",10-APR-93,6,"XX",0,""
"T01","01",10-APR-93,7,"XX",0,""
"T01","01",10-APR-93,8,"XX",0,""
"T01","01",10-APR-93,9,"2",2,""
"T01","01",10-APR-93,4,"84",2,""
"T01","01",10-APR-93,11,"XX",0,""
"T01","01",10-APR-93,12,"XX",0,""
"T01","01",10-APR-93,1,"XX",0,""
"T01","01",10-APR-93,2,"XX",0,""
"T01","01",10-APR-93,3,"XX",0,""
"T01","01",10-APR-93,10,"XX",0,""
"T05","01",14-APR-93,2,"XX",0,""
"T05","01",14-APR-93,1,"XX",0,""
"T05","01",14-APR-93,4,"XX",0,""
"T05","01",14-APR-93,5,"XX",0,""
"T05","01",14-APR-93,6,"XX",0,""
"T05","01",14-APR-93,7,"XX",0,""
"T05","01",14-APR-93,8,"XX",0,""
"T05","01",14-APR-93,9,"84",1,""
"T05","01",14-APR-93,10,"XX",0,""
"T05","01",14-APR-93,11,"XX",0,""
"T05","01",14-APR-93,12,"2",1,""
"T05","01",14-APR-93,12,"84",1,""
"T05","01",14-APR-93,13,"XX",0,""
"T05","01",14-APR-93,14,"XX",0,""
"T05","01",14-APR-93,15,"XX",0,""
"T05","01",14-APR-93,3,"84",1,""
"T05","01",15-APR-93,1,"XX",0,""
"T05","01",15-APR-93,8,"84",1,""
"T05","01",15-APR-93,3,"XX",0,""
"T05","01",15-APR-93,4,"XX",0,""
"T05","01",15-APR-93,9,"2",1,""
"T05","01",15-APR-93,9,"4",1,""
"T05","01",15-APR-93,9,"54",1,""
"T05","01",15-APR-93,10,"4",1,""
"T05","01",15-APR-93,10,"54",1,""
"T05","01",15-APR-93,11,"84",1,""
"T05","01",15-APR-93,12,"4",1,""
"T05","01",15-APR-93,12,"54",1,""
"T05","01",15-APR-93,13,"XX",0,""
"T05","01",15-APR-93,14,"XX",0,""
"T05","01",15-APR-93,15,"XX",0,""
"T05","01",15-APR-93,5,"93",1,""
"T05","01",15-APR-93,6,"XX",0,""
"T05","01",15-APR-93,7,"XX",0,""
"T05","01",15-APR-93,2,"XX",0,""
"T06","01",20-APR-93,2,"84",1,""
"T06","01",20-APR-93,3,"XX",0,""
"T06","01",20-APR-93,4,"XX",0,""
"T06","01",20-APR-93,5,"XX",0,""
"T06","01",20-APR-93,6,"XX",0,""
"T06","01",20-APR-93,7,"2",3,""
"T06","01",20-APR-93,2,"2",1,""
"T06","01",20-APR-93,9,"2",1,""
"T06","01",20-APR-93,10,"2",2,""
"T06","01",20-APR-93,11,"2",1,""
"T06","01",20-APR-93,12,"XX",0,""
"T06","01",20-APR-93,1,"XX",0,""
"T06","01",20-APR-93,8,"84",1,""
"T01","01",21-APR-93,1,"XX",0,""
"T01","01",21-APR-93,2,"XX",0,""
"T01","01",21-APR-93,3,"2",1,""
"T01","01",21-APR-93,4,"XX",0,""
"T01","01",21-APR-93,5,"XX",0,""
"T01","01",21-APR-93,12,"XX",0,""
"T01","01",21-APR-93,7,"XX",0,""
"T01","01",21-APR-93,8,"2",1,""
"T01","01",21-APR-93,9,"2",4,""
"T01","01",21-APR-93,10,"XX",0,""
"T01","01",21-APR-93,11,"2",1,""
"T01","01",21-APR-93,6,"XX",0,""
"T06","01",27-APR-93,7,"XX",0,""
"T06","01",27-APR-93,1,"2",1,""
"T06","01",27-APR-93,2,"84",2,""
"T06","01",27-APR-93,3,"XX",0,""
"T06","01",27-APR-93,4,"XX",0,""
"T06","01",27-APR-93,5,"XX",0,""
"T06","01",27-APR-93,8,"XX",0,""
"T06","01",27-APR-93,9,"XX",0,""
"T06","01",27-APR-93,10,"2",1,""
"T06","01",27-APR-93,11,"XX",0,""
"T06","01",27-APR-93,12,"2",3,""
"T06","01",27-APR-93,12,"84",1,""
"T06","01",27-APR-93,6,"XX",0,""
"T04","01",27-APR-93,5,"XX",0,""
"T04","01",27-APR-93,6,"XX",0,""
"T04","01",27-APR-93,7,"XX",0,""
"T04","01",27-APR-93,8,"XX",0,""
"T04","01",27-APR-93,9,"XX",0,""
"T04","01",27-APR-93,10,"XX",0,""
"T04","01",27-APR-93,1,"XX",0,""
"T04","01",27-APR-93,2,"XX",0,""
"T04","01",27-APR-93,3,"XX",0,""
"T04","01",27-APR-93,4,"XX",0,""
"T05","01",28-APR-93,1,"4",1,""
"T05","01",28-APR-93,15,"XX",0,""
"T05","01",28-APR-93,3,"XX",0,""
"T05","01",28-APR-93,4,"54",2,""
"T05","01",28-APR-93,5,"XX",0,""
"T05","01",28-APR-93,6,"4",1,""
"T05","01",28-APR-93,7,"2",1,""
"T05","01",28-APR-93,7,"4",2,""
"T05","01",28-APR-93,7,"99",1,""
"T05","01",28-APR-93,8,"XX",0,""
"T05","01",28-APR-93,9,"4",5,""
"T05","01",28-APR-93,9,"54",1,""
"T05","01",28-APR-93,9,"84",4,""
"T05","01",28-APR-93,9,"99",1,""
"T05","01",28-APR-93,10,"4",2,""
"T05","01",28-APR-93,11,"4",1,""
"T05","01",28-APR-93,11,"54",1,""
"T05","01",28-APR-93,11,"99",1,""
"T05","01",28-APR-93,12,"XX",0,""
"T05","01",28-APR-93,13,"XX",0,""
"T05","01",28-APR-93,14,"4",1,""
"T05","01",28-APR-93,2,"XX",0,""
"T08","01",29-APR-93,1,"XX",0,""
"T05","01",29-APR-93,15,"XX",0,""
"T08","01",29-APR-93,3,"XX",0,""
"T08","01",29-APR-93,4,"XX",0,""
"T08","01",29-APR-93,5,"XX",0,""
"T08","01",29-APR-93,6,"84",3,""
"T08","01",29-APR-93,7,"XX",0,""
"T08","01",29-APR-93,8,"XX",0,""
"T08","01",29-APR-93,9,"2",1,""
"T08","01",29-APR-93,9,"84",1,""
"T08","01",29-APR-93,10,"84",2,""
"T08","01",29-APR-93,11,"84",1,""
"T08","01",29-APR-93,12,"84",1,""
"T08","01",29-APR-93,13,"XX",0,""
"T04","02",29-APR-93,1,"2",1,""
"T04","02",29-APR-93,2,"XX",0,""
"T04","02",29-APR-93,3,"XX",0,""
"T04","02",29-APR-93,4,"2",1,""
"T04","02",29-APR-93,5,"XX",0,""
"T04","02",29-APR-93,6,"XX",0,""
"T04","02",29-APR-93,7,"99",1,""
"T05","01",29-APR-93,1,"84",2,""
"T05","01",29-APR-93,2,"XX",0,""
"T05","01",29-APR-93,3,"4",1,""
"T05","01",29-APR-93,3,"84",1,""
"T05","01",29-APR-93,4,"XX",0,""
"T05","01",29-APR-93,5,"4",1,""
"T05","01",29-APR-93,5,"99",2,""
"T05","01",29-APR-93,6,"4",2,""
"T05","01",29-APR-93,6,"84",3,""
"T05","01",29-APR-93,6,"99",1,""
"T05","01",29-APR-93,7,"54",1,""
"T05","01",29-APR-93,8,"XX",0,""
"T05","01",29-APR-93,9,"4",3,""
"T05","01",29-APR-93,9,"84",7,""
"T05","01",29-APR-93,10,"4",1,""
"T05","01",29-APR-93,10,"54",1,""
"T05","01",29-APR-93,10,"84",1,""
"T05","01",29-APR-93,11,"4",2,""
"T05","01",29-APR-93,11,"99",1,""
"T05","01",29-APR-93,12,"2",3,""
"T05","01",29-APR-93,13,"122",1,""
"T05","01",29-APR-93,14,"XX",0,""
"T08","01",29-APR-93,2,"XX",0,""
"T04","01",30-APR-93,1,"XX",0,""
"T03","01",30-APR-93,8,"XX",0,""
"T04","01",30-APR-93,3,"XX",0,""
"T04","01",30-APR-93,4,"XX",0,""
"T04","01",30-APR-93,5,"XX",0,""
"T04","01",30-APR-93,6,"XX",0,""
"T04","01",30-APR-93,7,"XX",0,""
"T04","01",30-APR-93,8,"XX",0,""
"T04","01",30-APR-93,9,"XX",0,""
"T04","01",30-APR-93,10,"XX",0,""
"T01","01",30-APR-93,1,"XX",0,""
"T01","01",30-APR-93,2,"XX",0,""
"T01","01",30-APR-93,3,"2",1,""
"T01","01",30-APR-93,3,"84",2,""
"T01","01",30-APR-93,3,"98",1,""
"T01","01",30-APR-93,4,"100",1,""
"T01","01",30-APR-93,4,"2",3,""
"T01","01",30-APR-93,4,"4",2,""
"T01","01",30-APR-93,4,"54",1,""
"T01","01",30-APR-93,4,"84",2,""
"T01","01",30-APR-93,5,"XX",0,""
"T01","01",30-APR-93,6,"2",1,""
"T01","01",30-APR-93,6,"4",1,""
"T01","01",30-APR-93,6,"54",1,""
"T01","01",30-APR-93,6,"84",1,""
"T01","01",30-APR-93,7,"2",1,""
"T01","01",30-APR-93,7,"84",1,""
"T01","01",30-APR-93,8,"2",2,""
"T01","01",30-APR-93,9,"2",4,""
"T01","01",30-APR-93,9,"54",1,""
"T01","01",30-APR-93,9,"84",6,""
"T01","01",30-APR-93,10,"84",1,""
"T01","01",30-APR-93,11,"XX",0,""
"T01","01",30-APR-93,12,"84",1,""
"T03","01",30-APR-93,9,"XX",0,""
"T03","01",30-APR-93,10,"XX",0,""
"T03","01",30-APR-93,1,"XX",0,""
"T03","01",30-APR-93,2,"XX",0,""
"T03","01",30-APR-93,3,"XX",0,""
"T03","01",30-APR-93,4,"XX",0,""
"T03","01",30-APR-93,5,"93",2,""
"T03","01",30-APR-93,5,"99",1,""
"T03","01",30-APR-93,6,"XX",0,""
"T03","01",30-APR-93,7,"27",1,"S"
"T03","01",30-APR-93,7,"4",3,""
"T04","01",30-APR-93,2,"XX",0,""
"T05","01",06-MAY-93,6,"84",3,""
"T01","01",06-MAY-93,12,"XX",0,""
"T05","01",06-MAY-93,8,"XX",0,""
"T05","01",06-MAY-93,9,"4",2,""
"T05","01",06-MAY-93,9,"84",1,""
"T05","01",06-MAY-93,9,"99",2,""
"T05","01",06-MAY-93,10,"XX",0,""
"T05","01",06-MAY-93,11,"4",1,""
"T05","01",06-MAY-93,11,"99",2,""
"T05","01",06-MAY-93,12,"2",1,""
"T05","01",06-MAY-93,13,"2",1,""
"T05","01",06-MAY-93,14,"99",1,""
"T05","01",06-MAY-93,15,"XX",0,""
"T05","01",06-MAY-93,1,"XX",0,""
"T05","01",06-MAY-93,2,"4",2,""
"T05","01",06-MAY-93,2,"99",1,""
"T05","01",06-MAY-93,3,"XX",0,""
"T05","01",06-MAY-93,4,"93",2,""
"T05","01",06-MAY-93,4,"99",1,""
"T05","01",06-MAY-93,5,"99",2,""
"T05","01",06-MAY-93,6,"4",2,""
"T01","01",06-MAY-93,1,"XX",0,""
"T01","01",06-MAY-93,2,"2",3,""
"T01","01",06-MAY-93,3,"XX",0,""
"T01","01",06-MAY-93,4,"2",1,""
"T01","01",06-MAY-93,5,"2",1,""
"T01","01",06-MAY-93,6,"2",1,""
"T01","01",06-MAY-93,7,"2",2,""
"T01","01",06-MAY-93,8,"2",2,""
"T01","01",06-MAY-93,8,"84",2,""
"T01","01",06-MAY-93,9,"100",1,""
"T01","01",06-MAY-93,9,"84",2,""
"T01","01",06-MAY-93,10,"XX",0,""
"T01","01",06-MAY-93,11,"XX",0,""
"T05","01",06-MAY-93,7,"XX",0,""
"T08","01",07-MAY-93,5,"84",2,""
"T08","01",07-MAY-93,6,"2",2,""
"T08","01",07-MAY-93,7,"84",1,""
"T08","01",07-MAY-93,7,"99",1,""
"T08","01",07-MAY-93,8,"84",2,""
"T08","01",07-MAY-93,9,"XX",0,""
"T08","01",07-MAY-93,10,"XX",0,""
"T08","01",07-MAY-93,11,"98",1,""
"T08","01",07-MAY-93,12,"XX",0,""
"T08","01",07-MAY-93,13,"XX",0,""
"T08","01",07-MAY-93,1,"XX",0,""
"T08","01",07-MAY-93,2,"2",1,""
"T08","01",07-MAY-93,3,"XX",0,""
"T08","01",07-MAY-93,4,"XX",0,""
"T04","02",07-MAY-93,1,"XX",0,""
"T04","02",07-MAY-93,2,"XX",0,""
"T04","02",07-MAY-93,3,"XX",0,""
"T04","02",07-MAY-93,4,"XX",0,""
"T04","02",07-MAY-93,5,"4",1,""
"T04","02",07-MAY-93,6,"99",1,""
"T04","02",07-MAY-93,7,"XX",0,""
"T03","01",07-MAY-93,1,"4",1,""
"T03","01",07-MAY-93,2,"93",1,""
"T03","01",07-MAY-93,3,"XX",0,""
"T03","01",07-MAY-93,4,"4",1,""
"T03","01",07-MAY-93,5,"XX",0,""
"T03","01",07-MAY-93,6,"XX",0,""
"T03","01",07-MAY-93,7,"93",1,""
"T03","01",07-MAY-93,8,"2",1,""
"T03","01",07-MAY-93,8,"4",1,""
"T03","01",07-MAY-93,8,"93",1,""
"T03","01",07-MAY-93,9,"2",1,""
"T03","01",07-MAY-93,9,"4",1,""
"T03","01",07-MAY-93,10,"XX",0,""
"T06","01",10-MAY-93,1,"2",2,""
"T06","01",10-MAY-93,2,"4",1,""
"T06","01",10-MAY-93,3,"XX",0,""
"T06","01",10-MAY-93,4,"XX",0,""
"T06","01",10-MAY-93,5,"XX",0,""
"T06","01",10-MAY-93,6,"XX",0,""
"T06","01",10-MAY-93,12,"XX",0,""
"T06","01",10-MAY-93,8,"84",2,""
"T06","01",10-MAY-93,9,"XX",0,""
"T06","01",10-MAY-93,10,"2",2,""
"T06","01",10-MAY-93,10,"84",2,""
"T06","01",10-MAY-93,11,"XX",0,""
"T06","01",10-MAY-93,7,"XX",0,""
"T05","01",13-MAY-93,10,"99",1,""
"T05","01",13-MAY-93,10,"4",1,""
"T05","01",13-MAY-93,11,"99",1,""
"T05","01",13-MAY-93,12,"4",1,""
"T05","01",13-MAY-93,12,"99",1,""
"T05","01",13-MAY-93,13,"2",1,""
"T05","01",13-MAY-93,14,"XX",0,""
"T05","01",13-MAY-93,15,"XX",0,""
"T05","01",13-MAY-93,1,"XX",0,""
"T05","01",13-MAY-93,2,"XX",0,""
"T05","01",13-MAY-93,3,"XX",0,""
"T05","01",13-MAY-93,4,"99",1,""
"T05","01",13-MAY-93,5,"99",1,""
"T05","01",13-MAY-93,6,"99",2,""
"T05","01",13-MAY-93,7,"99",1,""
"T05","01",13-MAY-93,8,"4",1,""
"T05","01",13-MAY-93,8,"94",1,""
"T05","01",13-MAY-93,8,"99",1,""
"T05","01",13-MAY-93,9,"4",1,""
"T05","01",13-MAY-93,9,"84",1,""
"T05","01",13-MAY-93,9,"99",2,""
"T05","01",13-MAY-93,11,"4",2,""
"T01","01",14-MAY-93,1,"XX",0,""
"T01","01",14-MAY-93,2,"XX",0,""
"T01","01",14-MAY-93,7,"XX",0,""
"T01","01",14-MAY-93,8,"XX",0,""
"T01","01",14-MAY-93,9,"XX",0,""
"T01","01",14-MAY-93,6,"XX",0,""
"T01","01",14-MAY-93,11,"XX",0,""
"T01","01",14-MAY-93,12,"XX",0,""
"T01","01",14-MAY-93,3,"XX",0,""
"T01","01",14-MAY-93,4,"XX",0,""
"T01","01",14-MAY-93,5,"XX",0,""
"T01","01",14-MAY-93,10,"XX",0,""
"T03","01",15-MAY-93,1,"XX",0,""
"T03","01",15-MAY-93,2,"XX",0,""
"T03","01",15-MAY-93,3,"93",1,""
"T03","01",15-MAY-93,4,"4",2,""
"T03","01",15-MAY-93,4,"99",2,""
"T03","01",15-MAY-93,10,"XX",0,""
"T03","01",15-MAY-93,6,"XX",0,""
"T03","01",15-MAY-93,7,"XX",0,""
"T03","01",15-MAY-93,8,"XX",0,""
"T03","01",15-MAY-93,9,"XX",0,""
"T03","01",15-MAY-93,5,"99",3,""
"T06","01",18-MAY-93,1,"100",1,""
"T06","01",18-MAY-93,2,"98",2,""
"T06","01",18-MAY-93,3,"XX",0,""
"T06","01",18-MAY-93,4,"XX",0,""
"T06","01",18-MAY-93,5,"XX",0,""
"T06","01",18-MAY-93,6,"XX",0,""
"T06","01",18-MAY-93,12,"XX",0,""
"T06","01",18-MAY-93,8,"4",1,""
"T06","01",18-MAY-93,8,"99",1,""
"T06","01",18-MAY-93,9,"XX",0,""
"T06","01",18-MAY-93,10,"XX",0,""
"T06","01",18-MAY-93,11,"XX",0,""
"T06","01",18-MAY-93,7,"XX",0,""
"T05","01",19-MAY-93,1,"99",1,""
"T04","02",19-MAY-93,7,"XX",0,""
"T05","01",19-MAY-93,3,"99",1,""
"T05","01",19-MAY-93,4,"54",1,""
"T05","01",19-MAY-93,5,"99",2,""
"T05","01",19-MAY-93,6,"99",1,""
"T05","01",19-MAY-93,7,"99",2,""
"T05","01",19-MAY-93,8,"2",1,""
"T05","01",19-MAY-93,8,"94",1,""
"T05","01",19-MAY-93,9,"122",1,""
"T05","01",19-MAY-93,9,"54",1,""
"T05","01",19-MAY-93,9,"94",1,""
"T05","01",19-MAY-93,9,"99",1,""
"T05","01",19-MAY-93,10,"2",1,""
"T05","01",19-MAY-93,10,"4",1,""
"T05","01",19-MAY-93,11,"XX",0,""
"T05","01",19-MAY-93,12,"99",1,""
"T05","01",19-MAY-93,13,"XX",0,""
"T05","01",19-MAY-93,14,"XX",0,""
"T05","01",19-MAY-93,15,"XX",0,""
"T04","02",19-MAY-93,1,"XX",0,""
"T04","02",19-MAY-93,2,"XX",0,""
"T04","02",19-MAY-93,3,"XX",0,""
"T04","02",19-MAY-93,4,"99",1,""
"T04","02",19-MAY-93,5,"XX",0,""
"T04","02",19-MAY-93,6,"XX",0,""
"T05","01",19-MAY-93,2,"99",1,""
"T04","01",20-MAY-93,4,"XX",0,""
"T04","02",20-MAY-93,7,"XX",0,""
"T04","01",20-MAY-93,6,"XX",0,""
"T04","01",20-MAY-93,7,"XX",0,""
"T04","01",20-MAY-93,8,"XX",0,""
"T04","01",20-MAY-93,9,"XX",0,""
"T04","01",20-MAY-93,10,"XX",0,""
"T04","01",20-MAY-93,1,"XX",0,""
"T04","01",20-MAY-93,2,"XX",0,""
"T04","01",20-MAY-93,3,"XX",0,""
"T04","02",20-MAY-93,1,"99",1,""
"T04","02",20-MAY-93,2,"XX",0,""
"T04","02",20-MAY-93,3,"XX",0,""
"T04","02",20-MAY-93,4,"99",2,""
"T04","02",20-MAY-93,5,"XX",0,""
"T04","02",20-MAY-93,6,"XX",0,""
"T04","01",20-MAY-93,5,"XX",0,""
"T08","01",21-MAY-93,1,"XX",0,""
"T03","01",21-MAY-93,1,"XX",0,""
"T08","01",21-MAY-93,3,"XX",0,""
"T08","01",21-MAY-93,4,"100",1,""
"T08","01",21-MAY-93,4,"2",1,""
"T08","01",21-MAY-93,4,"4",1,""
"T08","01",21-MAY-93,5,"XX",0,""
"T08","01",21-MAY-93,6,"2",1,""
"T08","01",21-MAY-93,6,"84",1,""
"T08","01",21-MAY-93,7,"100",1,""
"T08","01",21-MAY-93,7,"84",1,""
"T08","01",21-MAY-93,8,"100",5,""
"T08","01",21-MAY-93,8,"84",2,""
"T08","01",21-MAY-93,9,"100",3,""
"T08","01",21-MAY-93,10,"XX",0,""
"T08","01",21-MAY-93,11,"2",1,""
"T08","01",21-MAY-93,11,"84",1,""
"T08","01",21-MAY-93,12,"XX",0,""
"T08","01",21-MAY-93,13,"XX",0,""
"T05","01",21-MAY-93,8,"99",1,""
"T05","01",21-MAY-93,9,"99",1,""
"T05","01",21-MAY-93,10,"122",1,""
"T05","01",21-MAY-93,10,"99",1,""
"T05","01",21-MAY-93,11,"99",1,""
"T05","01",21-MAY-93,12,"XX",0,""
"T05","01",21-MAY-93,13,"XX",0,""
"T05","01",21-MAY-93,14,"XX",0,""
"T05","01",21-MAY-93,15,"XX",0,""
"T05","01",21-MAY-93,1,"XX",0,""
"T05","01",21-MAY-93,2,"XX",0,""
"T05","01",21-MAY-93,3,"84",1,""
"T05","01",21-MAY-93,4,"122",1,""
"T05","01",21-MAY-93,4,"93",1,""
"T05","01",21-MAY-93,5,"93",2,""
"T05","01",21-MAY-93,5,"99",1,""
"T05","01",21-MAY-93,6,"99",1,""
"T05","01",21-MAY-93,7,"XX",0,""
"T05","01",21-MAY-93,8,"94",1,""
"T03","01",21-MAY-93,2,"XX",0,""
"T03","01",21-MAY-93,3,"XX",0,""
"T03","01",21-MAY-93,4,"99",3,""
"T03","01",21-MAY-93,5,"XX",0,""
"T03","01",21-MAY-93,6,"XX",0,""
"T03","01",21-MAY-93,7,"XX",0,""
"T03","01",21-MAY-93,8,"XX",0,""
"T03","01",21-MAY-93,9,"XX",0,""
"T03","01",21-MAY-93,10,"XX",0,""
"T01","01",21-MAY-93,1,"XX",0,""
"T01","01",21-MAY-93,2,"XX",0,""
"T01","01",21-MAY-93,3,"XX",0,""
"T01","01",21-MAY-93,4,"2",3,""
"T01","01",21-MAY-93,5,"84",1,""
"T01","01",21-MAY-93,6,"XX",0,""
"T01","01",21-MAY-93,7,"XX",0,""
"T01","01",21-MAY-93,8,"XX",0,""
"T01","01",21-MAY-93,9,"99",1,""
"T01","01",21-MAY-93,10,"XX",0,""
"T01","01",21-MAY-93,11,"XX",0,""
"T01","01",21-MAY-93,12,"XX",0,""
"T08","01",21-MAY-93,2,"XX",0,""
"T06","01",24-MAY-93,1,"100",2,""
"T06","01",24-MAY-93,12,"84",1,""
"T06","01",24-MAY-93,2,"100",1,""
"T06","01",24-MAY-93,2,"98",2,""
"T06","01",24-MAY-93,3,"XX",0,""
"T06","01",24-MAY-93,4,"XX",0,""
"T06","01",24-MAY-93,5,"XX",0,""
"T06","01",24-MAY-93,6,"XX",0,""
"T06","01",24-MAY-93,7,"XX",0,""
"T06","01",24-MAY-93,8,"98",1,""
"T06","01",24-MAY-93,9,"XX",0,""
"T06","01",24-MAY-93,10,"XX",0,""
"T06","01",24-MAY-93,11,"XX",0,""
"T06","01",24-MAY-93,12,"2",1,""
"T06","01",24-MAY-93,1,"98",1,""
"T07","01",25-MAY-93,1,"XX",0,""
"T07","01",25-MAY-93,2,"XX",0,""
"T07","01",25-MAY-93,6,"XX",0,""
"T07","01",25-MAY-93,4,"XX",0,""
"T07","01",25-MAY-93,5,"XX",0,""
"T07","01",25-MAY-93,3,"XX",0,""
"T05","01",27-MAY-93,1,"XX",0,""
"T05","01",27-MAY-93,15,"XX",0,""
"T05","01",27-MAY-93,2,"99",2,""
"T05","01",27-MAY-93,3,"XX",0,""
"T05","01",27-MAY-93,4,"99",1,""
"T05","01",27-MAY-93,5,"93",1,""
"T05","01",27-MAY-93,6,"98",1,""
"T05","01",27-MAY-93,7,"93",1,""
"T05","01",27-MAY-93,8,"XX",0,""
"T05","01",27-MAY-93,9,"122",1,""
"T05","01",27-MAY-93,10,"XX",0,""
"T05","01",27-MAY-93,11,"54",1,""
"T05","01",27-MAY-93,12,"XX",0,""
"T05","01",27-MAY-93,13,"XX",0,""
"T05","01",27-MAY-93,14,"XX",0,""
"T05","01",27-MAY-93,2,"100",1,""
"T03","01",29-MAY-93,3,"XX",0,""
"T03","01",29-MAY-93,4,"98",1,""
"T03","01",29-MAY-93,5,"XX",0,""
"T03","01",29-MAY-93,6,"XX",0,""
"T03","01",29-MAY-93,2,"XX",0,""
"T03","01",29-MAY-93,8,"XX",0,""
"T03","01",29-MAY-93,9,"XX",0,""
"T03","01",29-MAY-93,10,"XX",0,""
"T03","01",29-MAY-93,1,"XX",0,""
"T03","01",29-MAY-93,7,"XX",0,""
"T08","01",01-JUN-93,1,"XX",0,""
"T01","01",01-JUN-93,12,"XX",0,""
"T08","01",01-JUN-93,3,"XX",0,""
"T08","01",01-JUN-93,4,"XX",0,""
"T08","01",01-JUN-93,5,"XX",0,""
"T08","01",01-JUN-93,6,"XX",0,""
"T08","01",01-JUN-93,7,"197",1,""
"T08","01",01-JUN-93,7,"84",1,""
"T08","01",01-JUN-93,8,"XX",0,""
"T08","01",01-JUN-93,9,"100",1,""
"T08","01",01-JUN-93,10,"100",2,""
"T08","01",01-JUN-93,10,"84",1,""
"T08","01",01-JUN-93,10,"99",1,""
"T08","01",01-JUN-93,11,"99",1,""
"T08","01",01-JUN-93,12,"XX",0,""
"T08","01",01-JUN-93,13,"XX",0,""
"T06","01",01-JUN-93,1,"XX",0,""
"T06","01",01-JUN-93,2,"XX",0,""
"T06","01",01-JUN-93,3,"100",1,""
"T06","01",01-JUN-93,3,"98",1,""
"T06","01",01-JUN-93,4,"XX",0,""
"T06","01",01-JUN-93,5,"98",1,""
"T06","01",01-JUN-93,6,"XX",0,""
"T06","01",01-JUN-93,7,"XX",0,""
"T06","01",01-JUN-93,8,"XX",0,""
"T06","01",01-JUN-93,9,"XX",0,""
"T06","01",01-JUN-93,10,"XX",0,""
"T06","01",01-JUN-93,11,"XX",0,""
"T06","01",01-JUN-93,12,"84",2,""
"T01","01",01-JUN-93,1,"XX",0,""
"T01","01",01-JUN-93,2,"XX",0,""
"T01","01",01-JUN-93,3,"XX",0,""
"T01","01",01-JUN-93,4,"100",1,""
"T01","01",01-JUN-93,4,"98",1,""
"T01","01",01-JUN-93,4,"99",1,""
"T01","01",01-JUN-93,5,"100",1,""
"T01","01",01-JUN-93,6,"XX",0,""
"T01","01",01-JUN-93,7,"XX",0,""
"T01","01",01-JUN-93,8,"XX",0,""
"T01","01",01-JUN-93,9,"XX",0,""
"T01","01",01-JUN-93,10,"XX",0,""
"T01","01",01-JUN-93,11,"XX",0,""
"T08","01",01-JUN-93,2,"XX",0,""
"T04","01",02-JUN-93,1,"29",1,""
"T04","01",02-JUN-93,1,"99",1,""
"T04","01",02-JUN-93,2,"29",2,""
"T04","01",02-JUN-93,3,"29",1,""
"T04","01",02-JUN-93,4,"XX",0,""
"T04","01",02-JUN-93,10,"XX",0,""
"T04","01",02-JUN-93,6,"XX",0,""
"T04","01",02-JUN-93,7,"XX",0,""
"T04","01",02-JUN-93,8,"XX",0,""
"T04","01",02-JUN-93,9,"XX",0,""
"T04","01",02-JUN-93,5,"XX",0,""
"T01","01",05-JUN-93,1,"XX",0,""
"T01","01",05-JUN-93,2,"XX",0,""
"T01","01",05-JUN-93,3,"XX",0,""
"T01","01",05-JUN-93,4,"100",2,""
"T01","01",05-JUN-93,5,"29",1,""
"T01","01",05-JUN-93,12,"XX",0,""
"T01","01",05-JUN-93,7,"XX",0,""
"T01","01",05-JUN-93,8,"XX",0,""
"T01","01",05-JUN-93,9,"XX",0,""
"T01","01",05-JUN-93,10,"XX",0,""
"T01","01",05-JUN-93,11,"98",1,""
"T01","01",05-JUN-93,6,"100",1,""
"T08","01",07-JUN-93,4,"XX",0,""
"T05","01",07-JUN-93,15,"XX",0,""
"T08","01",07-JUN-93,6,"XX",0,""
"T08","01",07-JUN-93,7,"100",1,""
"T08","01",07-JUN-93,7,"98",3,""
"T08","01",07-JUN-93,8,"100",2,""
"T08","01",07-JUN-93,8,"84",2,""
"T08","01",07-JUN-93,8,"93",2,""
"T08","01",07-JUN-93,8,"98",6,""
"T08","01",07-JUN-93,9,"100",5,""
"T08","01",07-JUN-93,9,"98",3,""
"T08","01",07-JUN-93,10,"100",1,""
"T08","01",07-JUN-93,11,"100",1,""
"T08","01",07-JUN-93,11,"98",1,""
"T08","01",07-JUN-93,12,"XX",0,""
"T08","01",07-JUN-93,13,"XX",0,""
"T08","01",07-JUN-93,1,"XX",0,""
"T08","01",07-JUN-93,2,"XX",0,""
"T08","01",07-JUN-93,3,"XX",0,""
"T05","01",07-JUN-93,1,"99",1,""
"T05","01",07-JUN-93,2,"XX",0,""
"T05","01",07-JUN-93,3,"122",1,""
"T05","01",07-JUN-93,4,"XX",0,""
"T05","01",07-JUN-93,5,"93",1,""
"T05","01",07-JUN-93,6,"98",1,""
"T05","01",07-JUN-93,7,"93",1,""
"T05","01",07-JUN-93,8,"XX",0,""
"T05","01",07-JUN-93,9,"XX",0,""
"T05","01",07-JUN-93,10,"122",1,""
"T05","01",07-JUN-93,10,"93",6,""
"T05","01",07-JUN-93,11,"XX",0,""
"T05","01",07-JUN-93,12,"XX",0,""
"T05","01",07-JUN-93,13,"XX",0,""
"T05","01",07-JUN-93,14,"93",2,""
"T08","01",07-JUN-93,5,"93",1,""
"T06","01",08-JUN-93,2,"4",1,""
"T06","01",08-JUN-93,3,"XX",0,""
